"","Name","Birth_Date","Age","Birth_Place","Country","Height","Weight","Association","Class","Fighter_id","NickName","Feet","Inch"
"346","Thibault Gouti",1987-02-27,"31","Toulousse, Haute-Gauronne","France",12,"29","Jackson-Wink MMA","Lightweight","GT","GT","5","10"
"347","Alexa Grasso",1993-08-09,"25","Guadalajara, Jalisco","Mexico",7,"4","Lobo Gym MMA","Strawweight","character(0)","character(0)","5","5"
"348","Humberto Bandenay",1994-09-04,"24","Lima","Peru",15,"20","Pro Fighting Peru","Featherweight","character(0)","character(0)","6","1"
"349","Joseph Morales",1994-08-22,"24","Clovis, California","United States",8,"9","Team Alpha Male","Flyweight","Bopo","Bopo","5","6"
"350","Jordan Rinaldi",1987-09-25,"31","Charlotte, North Carolina","United States",12,"29","One Kick's Gym / Sergio Penha BJJ","Lightweight","All Day","All Day","5","10"
"351","Robbie Lawler",1982-03-20,"36","Granite City, Illinois","United States",13,"38","Combat Club","Welterweight","Ruthless","Ruthless","5","11"
"352","Volkan Oezdemir",1989-09-19,"29","Fribourg","Switzerland",15,"57","Team Tavares / Fight Move Academy","Light Heavyweight","No Time","No Time","6","1"
"353","Ricardo Lamas",1982-05-21,"36","Chicago, Illinois","United States",10,"20","MMA Masters / Top Notch Fitness","Featherweight","The Bully","The Bully","5","8"
"354","Aleksandra Albu",1990-07-14,"28","Moscow","Russia",4,"4","Red Fury Fight Team / MMA-KEGI","Strawweight","Stitch","Stitch","5","2"
"355","Jon Jones",1987-07-19,"31","Rochester, New York","United States",18,"57","Jackson-Wink MMA","Light Heavyweight","Bones","Bones","6","4"
"356","Patrick Cummins",1980-11-16,"37","Reinholds, Pennsylvania","United States",16,"57","Reign MMA / Kings MMA","Light Heavyweight","Durkin","Durkin","6","2"
"357","Chase Sherman",1989-11-06,"28","D'Iberville, Mississippi","United States",18,"87","Jackson-Wink MMA","Heavyweight","The Vanilla Gorilla","The Vanilla Gorilla","6","4"
"358","Jeremy Kennedy",1992-09-16,"26","Surrey, British Columbia","Canada",13,"20","Revolution MMA / Scorpion MMA","Featherweight","JBC","JBC","5","11"
"359","Junior Albini",1991-03-15,"27","Paranagua, Parana","Brazil",17,"104","Astra Fight Team","Heavyweight","Baby","Baby","6","3"
"360","Shane Burgos",1991-03-19,"27","Woodbury, New York","United States",13,"20","Team Tiger Schulmann","Featherweight","Hurricane","Hurricane","5","11"
"361","Chris Wade",1987-09-30,"31","Long Island, New York","United States",11,"29","East Islip Kickboxing / Long Island MMA","Lightweight","character(0)","character(0)","5","9"
"362","Chris Weidman",1984-06-17,"34","Baldwin, New York","United States",16,"50","Serra-Longo Fight Team","Middleweight","All-American","All-American","6","2"
"363","Cynthia Calvillo",1987-07-13,"31","San Jose, California","United States",6,"5","Team Alpha Male","Strawweight","character(0)","character(0)","5","4"
"364","Jack Marshman",1989-12-19,"28","Abertillery, Gwent","Wales",14,"50","Tillery Combat MMA Academy","Middleweight","The Hammer","The Hammer","6","0"
"365","Galore Bofando",NA,NA,"London, Greater London","England",13,"38","London Shootfighters","Welterweight","The Paranormal","The Paranormal","5","11"
"366","Leslie Smith",1982-08-17,"36","Pleasant Hill, California","United States",11,"14","Cesar Gracie Fight Team","Bantamweight","The Peacemaker","The Peacemaker","5","9"
"367","Alistair Overeem",1980-05-17,"38","Amsterdam","Netherlands",18,"74","Jackson-Wink MMA","Heavyweight","The Demolition Man","The Demolition Man","6","4"
"368","Jesse Taylor",1983-01-02,"35","Poway, California","United States",15,"38","Team Quest","Welterweight","JT Money","JT Money","6","1"
"369","Jared Cannonier",1984-03-16,"34","Anchorage, Alaska","United States",14,"57","Legacy Jiu-Jitsu","Light Heavyweight","The Killa Gorilla","The Killa Gorilla","6","0"
"370","Gray Maynard",1979-09-05,"39","Santa Cruz, California","United States",10,"20","American Kickboxing Academy","Featherweight","The Bully","The Bully","5","8"
"371","Tim Boetsch",1981-01-28,"37","Lincolnville, Maine","United States",14,"50","Team Irish","Middleweight","The Barbarian","The Barbarian","6","0"
"372","Tim Means",1984-02-20,"34","Albuquerque, New Mexico","United States",16,"38","Fit NHB","Welterweight","The Dirty Bird","The Dirty Bird","6","2"
"373","Dennis Siver",1979-01-13,"39","Mannheim","Germany",9,"20","Kiboju","Featherweight","character(0)","character(0)","5","7"
"374","Darrell Horcher",1987-07-28,"31","Shermans Dale, Pennsylvania","United States",12,"28","Unrivaled Athletics","Lightweight","The Saint","The Saint","5","10"
"375","Jeremy Kimball",1991-03-01,"27","Colorado Springs, Colorado","United States",14,"54","Team Wildman Vale Tudo","Light Heavyweight","Grizzly","Grizzly","6","0"
"376","Jon Tuck",1984-08-28,"34","Chalan Pago","Guam",13,"29","Kings MMA","Lightweight","Super Saiyan","Super Saiyan","5","11"
"377","Russell Doane",1986-08-13,"32","Waianae, Hawaii","United States",8,"14","Hawaii Elite MMA","Bantamweight","character(0)","character(0)","5","6"
"378","Naoki Inoue",1997-06-14,"21","Toyohashi, Aichi","Japan",10,"9","Hakushinkai Karate","Flyweight","character(0)","character(0)","5","8"
"379","Ben Nguyen",1988-08-03,"30","Sioux Falls, South Dakota","United States",7,"9","Integrated MMA","Flyweight","10","10","5","5"
"380","Mark Hunt",1974-03-23,"44","South Auckland, Auckland","New Zealand",12,"104","American Top Team / Jackson-Wink MMA","Heavyweight","The Super Samoan","The Super Samoan","5","10"
"381","Vitor Belfort",1977-04-01,"41","Rio de Janeiro","Brazil",14,"50","Blackzilians / Jaco Hybrid Training Center","Middleweight","The Phenom","The Phenom","6","0"
"382","Matthew Lopez",1987-01-21,"31","Safford, Arizona","United States",9,"14","Genesis Training Center","Bantamweight","character(0)","character(0)","5","7"
"383","Viviane Pereira",1993-08-28,"25","Taua, Ceara","Brazil",2,"4","Dragon Kombat","Strawweight","Sucuri","Sucuri","5","0"
"384","Luan Chagas",1993-06-17,"25","Navirai, Mato Grosso do Sul","Brazil",13,"38","Gile Ribeiro Team / Noguchi Team","Welterweight","Tarzan","Tarzan","5","11"
"385","Peter Sobotta",1987-01-11,"31","Balingen, Baden-Wurttemberg","Germany",14,"38","Planet Eater","Welterweight","character(0)","character(0)","6","0"
"386","Omari Akhmedov",1987-10-12,"30","Makhachkala, Dagestan","Russia",14,"38","American Top Team","Welterweight","Wolverine","Wolverine","6","0"
"387","Trevor Smith",1981-01-05,"37","Tukwila, Washington","United States",17,"50","Ring Demon Jiu-Jitsu","Middleweight","Hot Sauce","Hot Sauce","6","3"
"388","Joaquim Silva",1989-02-05,"29","Anapolis, Goias","Brazil",10,"29","Evolucao Thai","Lightweight","Netto BJJ","Netto BJJ","5","8"
"389","Bojan Velickovic",1988-12-18,"29","Novi Sad","Serbia",14,"38","Elevation Fight Team","Welterweight","Serbian Steel","Serbian Steel","6","0"
"390","Alexander Gustafsson",1987-01-15,"31","Stockholm, Stockholm County","Sweden",18,"57","Allstars Training Center / Alliance MMA","Light Heavyweight","The Mauler","The Mauler","6","4"
"391","Demian Maia",1977-11-06,"40","Santana de Parnaiba, Sao Paulo","Brazil",14,"38","Demian Maia Jiu-Jitsu","Welterweight","character(0)","character(0)","6","0"
"392","Jason Knight",1992-07-14,"26","D'Iberville, Mississippi","United States",12,"20","Alan Belcher MMA Club","Featherweight","The Kid","The Kid","5","10"
"393","Gadzhimurad Antigulov",1987-01-01,"31","Makhachkala, Dagestan","Russia",13,"57","American Top Team","Light Heavyweight","character(0)","character(0)","5","11"
"394","Al Iaquinta",1987-04-30,"31","New York City, New York","United States",9,"29","Serra-Longo Fight Team","Lightweight","character(0)","character(0)","5","7"
"395","Steven Ray",1990-03-25,"28","Kirkcaldy, Fife","Scotland",12,"29","Higher Level MMA / Dinky Ninjas","Lightweight","Braveheart","Braveheart","5","10"
"396","Brandon Moreno",1993-12-07,"24","Tijuana, Baja California","Mexico",9,"9","Entram Gym","Flyweight","The Assassin Baby","The Assassin Baby","5","7"
"397","Danielle Taylor",1989-10-25,"28","Palmdale, California","United States",2,"4","Saekson Muay Thai","Strawweight","Dynamite","Dynamite","5","0"
"398","Hector Sandoval",1986-07-19,"32","Ukiah, California","United States",4,"9","Team Alpha Male","Flyweight","Kid Alex","Kid Alex","5","2"
"399","Rashid Magomedov",1984-05-14,"34","Makhachkala, Dagestan","Russia",11,"29","Gorets","Lightweight","Gorets","Gorets","5","9"
"400","Zak Cummings",1984-08-02,"34","Springfield, Missouri","United States",14,"38","Glory MMA and Fitness","Welterweight","character(0)","character(0)","6","0"
"401","Gegard Mousasi",1985-08-01,"33","Leiden, South Holland","Netherlands",16,"50","Team Jurojin","Middleweight","The Dreamcatcher","The Dreamcatcher","6","2"
"402","Thiago Alves",1983-10-03,"35","Fortaleza, Ceara","Brazil",12,"38","American Top Team","Welterweight","Pitbull","Pitbull","5","10"
"403","Magomed Bibulatov",1988-08-22,"30","Grozny, Chechnya","Russia",7,"9","Akhmat Fight Team","Flyweight","Chaborz","Chaborz","5","5"
"404","Gunnar Nelson",1988-07-28,"30","Reykjavik","Iceland",13,"38","Mjolnir / SBG Ireland","Welterweight","Gunni","Gunni","5","11"
"405","Joseph Duffy",1988-02-18,"30","Donegal","Ireland",12,"29","The MMA Clinic","Lightweight","Irish Joe","Irish Joe","5","10"
"406","Francimar Barroso",1980-02-29,"38","Xapuri, Acre","Brazil",15,"57","Nova Uniao","Light Heavyweight","Bodao","Bodao","6","1"
"407","Marc Diakiese",1993-03-16,"25","Doncaster, South Yorkshire","England",12,"28","American Top Team","Lightweight","Bonecrusher","Bonecrusher","5","10"
"408","Bradley Scott",1989-06-22,"29","Melksham, Wiltshire","England",15,"38","Dragons Lair MMA / MMA Lab","Welterweight","Bear","Bear","6","1"
"409","Jimi Manuwa",1980-02-18,"38","Morden","England",14,"57","Keddles Gym / Nova Forca Brazilian Jiu-Jitsu","Light Heavyweight","Poster Boy","Poster Boy","6","0"
"410","Mauricio Rua",1981-11-25,"36","Curitiba, Parana","Brazil",15,"57","Universidade da Luta","Light Heavyweight","Shogun","Shogun","6","1"
"411","Edson Barboza",1986-01-21,"32","Nova Friburgo, Rio de Janeiro","Brazil",13,"29","American Top Team","Lightweight","character(0)","character(0)","5","11"
"412","Ray Borg",1993-08-04,"25","Albuquerque, New Mexico","United States",6,"9","Fit NHB","Flyweight","The Tazmexican Devil","The Tazmexican Devil","5","4"
"413","Joe Soto",1987-03-22,"31","Porterville, California","United States",8,"14","Central Valley Combat Academy","Bantamweight","One Bad Mofo","One Bad Mofo","5","6"
"414","Daniel Kelly",1977-10-31,"40","Melbourne, Victoria","Australia",14,"50","Resilience Training Centre","Middleweight","character(0)","character(0)","6","0"
"415","Albert Morales",1991-05-25,"27","Carson, California","United States",11,"14","Systems Training Center / Caique Jiu-Jitsu","Bantamweight","The Warrior","The Warrior","5","9"
"416","Johny Hendricks",1983-09-12,"35","Ada, Oklahoma","United States",11,"50","Team Takedown","Middleweight","Bigg Rigg","Bigg Rigg","5","9"
"417","Gavin Tucker",1986-06-17,"32","Ship Cove, Newfoundland","Canada",9,"20","Titans MMA","Featherweight","Guv'Nor","Guv'Nor","5","7"
"418","Sara McMann",1980-09-24,"38","Gaffney, South Carolina","United States",7,"14","Revolution MMA / Limestone","Bantamweight","character(0)","character(0)","5","5"
"419","Aiemann Zahabi",1987-11-19,"30","Laval, Quebec","Canada",10,"14","Tristar Gym","Bantamweight","character(0)","character(0)","5","8"
"420","Anderson Silva",1975-04-14,"43","Curitiba, Parana","Brazil",16,"50","Team Nogueira / X-Gym / Killer Bees","Middleweight","The Spider","The Spider","6","2"
"421","Wilson Reis",1985-01-06,"33","Januaria, Minas Gerais","Brazil",6,"9","Brazilian Jiu-Jitsu United / Godoi Jiu-Jitsu","Flyweight","character(0)","character(0)","5","4"
"422","Germaine de Randamie",1984-04-24,"34","Utrecht, Utrecht","Netherlands",11,"20","American Kickboxing Academy","Featherweight","The Iron Lady","The Iron Lady","5","9"
"423","Marcel Fortuna",1985-10-22,"32","Tubarao, Santa Catarina","Brazil",15,"57","Ralph Gracie Jiu-Jitsu / American Kickboxing Academy","Light Heavyweight","Maozinha","Maozinha","6","1"
"424","Chas Skelly",1985-05-11,"33","Keller, Texas","United States",13,"20","Team Takedown","Featherweight","The Scrapper","The Scrapper","5","11"
"425","Chan Sung Jung",1987-03-17,"31","Gyeongju, North Gyeongsang","South Korea",11,"20","Korean Zombie MMA","Featherweight","The Korean Zombie","The Korean Zombie","5","9"
"426","Jorge Masvidal",1984-11-12,"33","Miami, Florida","United States",13,"38","American Top Team","Welterweight","Gamebred","Gamebred","5","11"
"427","Eric Spicely",1986-09-29,"32","Olneyville, Rhode Island","United States",15,"50","Syndicate MMA","Middleweight","Zebrinha","Zebrinha","6","1"
"428","Marcos Rogerio de Lima",1985-06-25,"33","Ribeirao Pires, Sao Paulo","Brazil",15,"57","011 MMA Team","Light Heavyweight","Pezao","Pezao","6","1"
"429","Jason Gonzalez",1990-02-28,"28","Colton, California","United States",16,"29","Millennia MMA","Lightweight","Nicoyas","Nicoyas","6","2"
"430","Joe Lauzon",1984-05-22,"34","Bridgewater, Massachusetts","United States",12,"29","Lauzon MMA","Lightweight","J-Lau","J-Lau","5","10"
"431","Augusto Mendes",1983-03-03,"35","Rio de Janeiro, Rio de Janeiro","Brazil",8,"14","Soul Fighters BJJ / MMA Lab","Bantamweight","Tanquinho","Tanquinho","5","6"
"432","Joachim Christensen",NA,NA,"Copenhagen","Denmark",17,"56","Arte Suave Copenhagen","Light Heavyweight","character(0)","character(0)","6","3"
"433","Yair Rodriguez",1992-10-06,"25","Parral, Chihuahua","Mexico",13,"20","Valle Flow Striking","Featherweight","Pantera","Pantera","5","11"
"434","Cody Garbrandt",1991-07-07,"27","Uhrichsville, Ohio","United States",9,"14","Team Alpha Male","Bantamweight","No Love","No Love","5","7"
"435","Dong Hyun Kim",1981-11-17,"36","Busan, Yeongnam","South Korea",16,"38","Busan Team M.A.D.","Welterweight","Stun Gun","Stun Gun","6","2"
"436","Urijah Faber",1979-05-14,"39","Sacramento, California","United States",8,"14","Team Alpha Male","Bantamweight","The California Kid","The California Kid","5","6"
"437","Mizuto Hirota",1981-05-05,"37","Isahaya, Nagasaki","Japan",9,"29","Cave","Lightweight","Pugnus","Pugnus","5","7"
"438","Eddie Wineland",1984-06-26,"34","Portage, Indiana","United States",10,"14","Duneland Vale Tudo","Bantamweight","character(0)","character(0)","5","8"
"439","Sultan Aliev",1984-09-17,"34","Derbent, Dagestan","Russia",13,"38","American Top Team","Welterweight","character(0)","character(0)","5","11"
"440","Emil Meek",1988-08-20,"30","Trondheim","Norway",13,"38","Xtreme Couture","Welterweight","Valhalla","Valhalla","5","11"
"441","Misha Cirkunov",1987-02-27,"31","Riga","Latvia",17,"57","Xtreme Couture","Light Heavyweight","character(0)","character(0)","6","3"
"442","Justine Kish",1988-04-13,"30","Cramerton, North Carolina","United States",7,"9","Black House","Flyweight","character(0)","character(0)","5","5"
"443","Juliana Lima",1982-03-15,"36","Belo Horizonte, Minas Gerais","Brazil",7,"4","Gracie Barra BH / Draculino Team","Strawweight","Ju Thai","Ju Thai","5","5"
"444","Joseph Benavidez",1984-07-31,"34","Sacramento, California","United States",6,"9","Team Alpha Male","Flyweight","character(0)","character(0)","5","4"
"445","Ryan Hall",1985-02-22,"33","Falls Church, Virginia","United States",12,"20","50 / 50 BJJ / Tristar Gym","Featherweight","The Wizard","The Wizard","5","10"
"446","Jamie Moyle",1989-03-17,"29","Orlando, Florida","United States",3,"4","Team Alpha Male","Strawweight","character(0)","character(0)","5","1"
"447","Andrew Holbrook",1986-02-06,"32","Indianapolis, Indiana","United States",13,"29","Indy Boxing & Grappling","Lightweight","character(0)","character(0)","5","11"
"448","Damien Brown",1984-12-25,"33","Townsville, Queensland","Australia",12,"29","Integrated MMA","Lightweight","Beatdown","Beatdown","5","10"
"449","Jonathan Meunier",1987-08-04,"31","Quebec City, Quebec","Canada",17,"38","Tristar Quebec","Welterweight","The French Spider","The French Spider","6","3"
"450","Jenel Lausa",1988-08-01,"30","Concepcion, Iloilo","Philippines",7,"9","Team Capanay","Flyweight","The Demolition Man","The Demolition Man","5","5"
"451","Thomas Almeida",1991-07-31,"27","Sao Paulo, Sao Paulo","Brazil",9,"14","Chute Boxe Diego Lima / Macaco Gold Team","Bantamweight","Thominhas","Thominhas","5","7"
"452","Krzysztof Jotko",1989-08-19,"29","Orneta","Poland",15,"50","American Top Team / Phuket Top Team","Middleweight","character(0)","character(0)","6","1"
"453","Johnny Eduardo",1980-08-03,"38","Duque de Caxias, Rio de Janeiro","Brazil",9,"14","Nova Uniao","Bantamweight","Pretinho","Pretinho","5","7"
"454","Luis Henrique Barbosa de Oliveira",1993-08-21,"25","Rio de Janeiro, Rio de Janeiro","Brazil",16,"93","Infight / Tata Fight Team / Rizzo RVT / American Top Team","Heavyweight","KLB","KLB","6","2"
"455","Ryan Bader",1983-06-07,"35","Tempe, Arizona","United States",16,"57","Power MMA Team","Light Heavyweight","Darth","Darth","6","2"
"456","Artem Lobov",1986-08-11,"32","Dublin","Ireland",11,"21","SBG Ireland","Featherweight","The Russian Hammer","The Russian Hammer","5","9"
"457","Kyoji Horiguchi",1990-10-12,"27","Takasaki, Gunma","Japan",7,"9","American Top Team","Flyweight","character(0)","character(0)","5","5"
"458","Raquel Pennington",1988-09-05,"30","Colorado Springs, Colorado","United States",9,"14","Altitude MMA","Bantamweight","Rocky","Rocky","5","7"
"459","Conor McGregor",1988-07-14,"30","Dublin","Ireland",10,"29","SBG Ireland","Lightweight","Notorious","Notorious","5","8"
"460","Martin Bravo",1993-09-21,"25","Rosarito Beach, Baja California","Mexico",10,"20","Entram Gym","Featherweight","Toro","Toro","5","8"
"461","Erik Perez",1989-11-19,"28","Monterrey, Nuevo Leon","Mexico",9,"14","Alliance MMA","Bantamweight","El Goyito","El Goyito","5","7"
"462","Stefan Struve",1988-02-18,"30","Beverwijk, North Holland","Netherlands",23,"104","Team Schrijber","Heavyweight","Skyscraper","Skyscraper","7","0"
"463","Damian Stasiak",1990-02-20,"28","Lodz","Poland",7,"14","United Gym","Bantamweight","Webster","Webster","5","5"
"464","Leonardo Santos",1980-02-05,"38","Rio de Janeiro, Rio de Janeiro","Brazil",14,"29","Nova Uniao","Lightweight","character(0)","character(0)","6","0"
"465","Michael Bisping",1979-02-28,"39","Manchester","England",16,"50","HB Ultimate","Middleweight","The Count","The Count","6","2"
"466","Henrique da Silva",1989-09-01,"29","Limoeiro, Pernambuco","Brazil",17,"57","Minhoca Top Team","Light Heavyweight","Frankenstein","Frankenstein","6","3"
"467","Nate Marquardt",1979-04-20,"39","Aurora, Colorado","United States",14,"50","High Altitude Martial Arts","Middleweight","The Great","The Great","6","0"
"468","Renan Barao",1987-01-31,"31","Natal, Rio Grande do Norte","Brazil",9,"14","American Top Team","Bantamweight","The Baron","The Baron","5","7"
"469","Roy Nelson",1976-06-20,"42","Las Vegas, Nevada","United States",14,"89","Country Club","Heavyweight","Big Country","Big Country","6","0"
"470","Godofredo Castro",1987-07-02,"31","Fortaleza, Ceara","Brazil",12,"20","Evolucao Thai","Featherweight","Pepey","Pepey","5","10"
"471","Erick Silva",1984-06-21,"34","Vila Velha, Espirito Santo","Brazil",13,"38","Kings MMA","Welterweight","The Tiger","The Tiger","5","11"
"472","Evan Dunham",1981-12-18,"36","Eugene, Oregon","United States",12,"29","Xtreme Couture","Lightweight","character(0)","character(0)","5","10"
"473","Roan Carneiro",1978-06-02,"40","Rio de Janeiro","Brazil",13,"38","American Top Team Atlanta","Welterweight","Jucao","Jucao","5","11"
"474","Bethe Correia",1983-06-22,"35","Campina Grande, Paraiba","Brazil",6,"14","CM System","Bantamweight","Pitbull","Pitbull","5","4"
"475","Nick Hein",1984-04-24,"34","Cologne","Germany",8,"29","Tiger Muay Thai","Lightweight","Sergeant","Sergeant","5","6"
"476","Jessin Ayari",1992-05-31,"26","Nuremberg","Germany",14,"38","Hammers Team / Planet Eater","Welterweight","Abacus","Abacus","6","0"
"477","Taylor Lapilus",1992-04-08,"26","Paris","France",8,"20","MMA Factory","Featherweight","Double Impact","Double Impact","5","6"
"478","Christian Colombo",1980-01-07,"38","Copenhagen","Denmark",19,"97","Combat Sports Academy","Heavyweight","Godzilla","Godzilla","6","5"
"479","Josh Barnett",1977-11-10,"40","Seattle, Washington","United States",17,"88","UWF USA","Heavyweight","The Warmaster","The Warmaster","6","3"
"480","Paige VanZant",1994-03-26,"24","Sparks, Nevada","United States",6,"9","Gracie Barra Portland","Flyweight","12 Gauge","12 Gauge","5","4"
"481","Felipe Silva",1984-08-05,"34","Juiz de Fora, Minas Gerais","Brazil",14,"29","CM System / Pro Fight Team","Lightweight","character(0)","character(0)","6","0"
"482","Anthony Johnson",1984-03-06,"34","Boca Raton, Florida","United States",16,"57","Blackzilians / Jaco Hybrid Training Center","Light Heavyweight","Rumble","Rumble","6","2"
"483","Lorenz Larkin",1986-09-03,"32","Riverside, California","United States",13,"38","Millennia MMA","Welterweight","The Monsoon","The Monsoon","5","11"
"484","Dennis Bermudez",1986-12-13,"31","Saugerties, New York","United States",8,"20","Long Island MMA","Featherweight","The Menace","The Menace","5","6"
"485","Maryna Moroz",1991-09-08,"27","Dnipro, Dnipropetrovsk","Ukraine",9,"4","Valle Flow Striking","Strawweight","The Iron Lady","The Iron Lady","5","7"
"486","Court McGee",1984-12-12,"33","Layton, Utah","United States",13,"38","The Pit Elevated Fight Team","Welterweight","The Crusher","The Crusher","5","11"
"487","Jake Ellenberger",1985-03-28,"33","Omaha, Nebraska","United States",11,"38","Reign MMA","Welterweight","The Juggernaut","The Juggernaut","5","9"
"488","Nikita Krylov",1992-03-07,"26","Donetsk","Ukraine",17,"57","Industrials","Light Heavyweight","The Miner","The Miner","6","3"
"489","Anthony Hamilton",1980-04-14,"38","Seattle, Washington","United States",19,"100","Jackson-Wink MMA","Heavyweight","Freight Train","Freight Train","6","5"
"490","Michael Graves",1991-01-08,"27","Coconut Creek, Florida","United States",12,"38","American Top Team","Welterweight","character(0)","character(0)","5","10"
"491","Daniel Omielanczuk",1982-08-31,"36","Warsaw","Poland",14,"92","Berkut WCA Fight Team","Heavyweight","character(0)","character(0)","6","0"
"492","Louis Smolka",1991-07-16,"27","Waipahu, Hawaii","United States",11,"9","Hawaii Elite MMA","Flyweight","Da Last Samurai","Da Last Samurai","5","9"
"493","Alex Nicholson",1990-05-02,"28","Apopka, Florida","United States",18,"57","American Top Team Orlando","Light Heavyweight","The Spartan","The Spartan","6","4"
"494","Brock Lesnar",1977-07-12,"41","Webster, South Dakota","United States",17,"103","Team Death Clutch","Heavyweight","character(0)","character(0)","6","3"
"495","Cain Velasquez",1982-07-28,"36","Salinas, California","United States",15,"81","American Kickboxing Academy","Heavyweight","character(0)","character(0)","6","1"
"496","Julianna Pena",1989-08-19,"29","Spokane, Washington","United States",9,"13","SikJitsu","Bantamweight","The Venezuelan Vixen","The Venezuelan Vixen","5","7"
"497","Will Brooks",1986-10-08,"31","Schaumburg, Illinois","United States",13,"29","American Top Team","Lightweight","Ill Will","Ill Will","5","11"
"498","Doo Ho Choi",1991-04-10,"27","Gumi, Gyeongsangbuk-do","South Korea",11,"20","Busan Team MAD","Featherweight","The Korean Superboy","The Korean Superboy","5","9"
"499","Josh Stansbury",1984-11-19,"33","East Liverpool, Ohio","United States",16,"57","Team Impact","Light Heavyweight","The Sandman","The Sandman","6","2"
"500","Alberto Mina",1982-05-02,"36","Campina Grande, Paraiba","Brazil",14,"38","Kings MMA / Epic MMA","Welterweight","Soldier of God","Soldier of God","6","0"
"501","Anthony Birchak",1986-05-16,"32","Tucson, Arizona","United States",10,"14","Luta Elite MMA","Bantamweight","El Toro","El Toro","5","8"
"502","Felipe Arantes",1988-02-09,"30","Sao Paulo, Sao Paulo","Brazil",10,"20","Chute Boxe Diego Lima / Macaco Gold Team","Featherweight","Sertanejo","Sertanejo","5","8"
"503","Marco Beltran",1986-05-18,"32","Mexico City, Federal District","Mexico",10,"9","Invictus MMA","Flyweight","Psycho","Psycho","5","8"
"504","Steve Bosse",1981-07-29,"37","Montreal, Quebec","Canada",13,"54","Tristar Gym","Light Heavyweight","The Boss","The Boss","5","11"
"505","Jason Saggo",1985-11-23,"32","Bolton, Ontario","Canada",13,"29","Wulfrun MMA","Lightweight","character(0)","character(0)","5","11"
"506","Ali Bagautinov",1985-06-12,"33","Dagestan","Russia",6,"9","Fight Nights Team","Flyweight","Puncher","Puncher","5","4"
"507","Dominick Cruz",1985-09-03,"33","San Diego, California","United States",10,"13","Alliance MMA","Bantamweight","The Dominator","The Dominator","5","8"
"508","Dan Henderson",1970-08-24,"48","Temecula, California","United States",15,"50","Team Quest","Middleweight","Hendo","Hendo","6","1"
"509","Kevin Casey",1981-06-15,"37","Los Angeles, California","United States",13,"50","Black House","Middleweight","King","King","5","11"
"510","Rick Story",1984-08-28,"34","Tacoma, Washington","United States",12,"38","MMA Lab","Welterweight","The Horror","The Horror","5","10"
"511","Chris Camozzi",1986-11-20,"31","Englewood, Colorado","United States",17,"50","Factory X","Middleweight","character(0)","character(0)","6","3"
"512","Abel Trujillo",1983-09-18,"35","Des Moines, Iowa","United States",10,"29","Blackzilians / Jaco Hybrid Training Center","Lightweight","Killa","Killa","5","8"
"513","Erik Koch",1988-10-04,"30","Cedar Rapids, Iowa","United States",12,"29","Roufusport","Lightweight","The Phoenix","The Phoenix","5","10"
"514","Bryan Caraway",1984-08-04,"34","Seattle, Washington","United States",11,"14","Xtreme Couture","Bantamweight","Kid Lightning","Kid Lightning","5","9"
"515","Adam Milstead",1987-07-03,"31","Beaver Falls, Pennsylvania","United States",17,"57","Pittsburgh Fight Club","Light Heavyweight","The Prototype","The Prototype","6","3"
"516","Magnus Cedenblad",1982-04-10,"36","Stockholm","Sweden",17,"50","Allstars Training Center","Middleweight","Jycken","Jycken","6","3"
"517","Reza Madadi",1978-06-20,"40","Tehran","Iran, Islamic Republic of",13,"29","Allstars Training Center","Lightweight","Mad Dog","Mad Dog","5","11"
"518","Michael Chiesa",1987-12-07,"30","Spokane, Washington","United States",15,"29","Sikjitsu","Lightweight","Maverick","Maverick","6","1"
"519","Lucas Martins",1988-11-11,"29","Montes Claros, Minas Gerais","Brazil",14,"20","Capital da Luta","Featherweight","Mineiro","Mineiro","6","0"
"520","Bec Rawlings",1989-02-11,"29","Brisbane, Queensland","Australia",8,"5","Alliance MMA","Strawweight","Rowdy","Rowdy","5","6"
"521","Viscardi Andrade",1984-03-08,"34","Jales, Sao Paulo","Brazil",14,"38","Gracie Fusion","Welterweight","character(0)","character(0)","6","0"
"522","Miesha Tate",1986-08-18,"32","Tacoma, Washington","United States",8,"14","Xtreme Couture","Bantamweight","Cupcake","Cupcake","5","6"
"523","Vitor Miranda",1979-03-10,"39","Joinville, Santa Catarina","Brazil",15,"50","Team Nogueira","Middleweight","Lex Luthor","Lex Luthor","6","1"
"524","Nate Diaz",1985-04-16,"33","Stockton, California","United States",14,"29","Cesar Gracie Fight Team","Lightweight","character(0)","character(0)","6","0"
"525","Brad Pickett",1978-09-24,"40","London","England",8,"9","American Top Team / Team Titan","Flyweight","One Punch","One Punch","5","6"
"526","Davey Grant",1985-12-18,"32","Bishop Auckland","England",10,"14","North East Top Team / SBG Manchester","Bantamweight","Dangerous","Dangerous","5","8"
"527","Scott Askham",1988-05-25,"30","Doncaster, South Yorkshire","England",17,"50","Atherton Submission Wrestling","Middleweight","character(0)","character(0)","6","3"
"528","Teemu Packalen",1987-05-22,"31","Turku","Finland",15,"29","Finnfighters Gym","Lightweight","character(0)","character(0)","6","1"
"529","Oluwale Bamgbose",1987-08-04,"31","New York, New York","United States",13,"50","Chute Boxe USA / C1-MMA","Middleweight","The Holy War Angel","The Holy War Angel","5","11"
