id,name,nickname,url,height,height_inches,weight,reach,stance,is_orthodox,dob,record,record_wins,record_losses,record_draws
328,Demian Maia,,http://www.fightmetric.com/fighter-details/427b5953ac8e3a27,"6' 1""",73,170,72,Southpaw,0,"Nov 06, 1977",25-9-0,25,9,0
329,Kamaru Usman,"""The Nigerian Nightmare""",http://www.fightmetric.com/fighter-details/f1b2aa7853d1ed6e,"6' 0""",72,170,76,Switch,0,"May 11, 1987",13-1-0,13,1,0
330,Alexa Grasso,,http://www.fightmetric.com/fighter-details/e8b731feff72294b,"5' 5""",65,115,66,Orthodox,1,"Aug 09, 1993",10-2-0,10,2,0
331,Jared Cannonier,"""The Killa Gorilla""",http://www.fightmetric.com/fighter-details/13a0275fa13c4d26,"5' 11""",71,205,77,Switch,0,"Mar 16, 1984",10-4-0,10,4,0
332,Dominick Reyes,"""The Devastator""",http://www.fightmetric.com/fighter-details/2e19380f34871c6a,"6' 4""",76,205,77,Southpaw,0,"Dec 26, 1989",9-0-0,9,0,0
333,Diego Rivas,"""Pitbull""",http://www.fightmetric.com/fighter-details/09f579be4520394a,"5' 8""",68,145,69,Orthodox,1,"Nov 11, 1991",7-2-0,7,2,0
334,Guido Cannetti,"""Ninja""",http://www.fightmetric.com/fighter-details/d05412b513b19621,"5' 6""",66,135,68,Southpaw,0,"Dec 19, 1979",8-4-0,8,4,0
335,Veronica Macedo,,http://www.fightmetric.com/fighter-details/4798e823ada58fe9,"5' 4""",64,125,64,Southpaw,0,"Oct 30, 1995",5-2-1,5,2,1
336,Andrea Lee,"""KGB""",http://www.fightmetric.com/fighter-details/05fa626cb33d15b8,"5' 6""",66,125,69,Orthodox,1,"Feb 11, 1989",9-2-0,9,2,0
337,Vicente Luque,"""The Silent Assassin""",http://www.fightmetric.com/fighter-details/6d4b63c767106d3a,"5' 11""",71,170,75,Orthodox,1,"Nov 27, 1991",13-6-1,13,6,1
338,Chad Laprise,"""The Disciple""",http://www.fightmetric.com/fighter-details/c03a5022f8439f2a,"5' 10""",70,170,71,Orthodox,1,"Jul 23, 1986",14-3-0,14,3,0
339,Zak Cummings,,http://www.fightmetric.com/fighter-details/4ba8d454f762005d,"6' 0""",72,170,75,Southpaw,0,"Aug 02, 1984",21-6-0,21,6,0
340,Michel Prazeres,"""Tractor""",http://www.fightmetric.com/fighter-details/e51fcd9cd84c0b93,"5' 6""",66,170,67,Orthodox,1,"Jul 25, 1981",25-2-0,25,2,0
341,Brandon Moreno,"""The Assassin Baby""",http://www.fightmetric.com/fighter-details/792be9a24df82ed6,"5' 7""",67,125,70,Orthodox,1,"Dec 07, 1993",14-5-0,14,5,0
342,Alexandre Pantoja,"""The Cannibal""",http://www.fightmetric.com/fighter-details/a0f0004aadf10b71,"5' 5""",65,125,67,Orthodox,1,"Apr 16, 1990",19-3-0,19,3,0
343,Poliana Botelho,,http://www.fightmetric.com/fighter-details/5c126c6aac3ef364,"5' 8""",68,115,--,Orthodox,1,"Dec 15, 1988",7-1-0,7,1,0
344,Syuri Kondo,,http://www.fightmetric.com/fighter-details/a851c35f58199231,"5' 4""",64,115,66,Orthodox,1,"Feb 08, 1989",6-1-0,6,1,0
345,Gabriel Benitez,"""Moggly""",http://www.fightmetric.com/fighter-details/436f970c9ea9169c,"5' 8""",68,145,71,Southpaw,0,"Jun 15, 1988",21-7-0,21,7,0
346,Humberto Bandenay,,http://www.fightmetric.com/fighter-details/2c2caf2f2bab9df5,"5' 11""",71,145,--,Southpaw,0,"Sep 04, 1994",14-5-0 (1 NC),14,5,0
347,Enrique Barzola,"""El Fuerte""",http://www.fightmetric.com/fighter-details/be0b310a12eb80b4,"5' 7""",67,145,70,,0,"Apr 28, 1989",16-3-1,16,3,1
348,Henry Briones,"""Bure""",http://www.fightmetric.com/fighter-details/01fcef7e3d051722,"5' 8""",68,135,69,,0,"Oct 22, 1980",19-8-1,19,8,1
349,Frankie Saenz,,http://www.fightmetric.com/fighter-details/9ba2226646046b63,"5' 6""",66,135,66,Orthodox,1,"Aug 12, 1980",13-5-0,13,5,0
350,Claudio Puelles,"""El Nino""",http://www.fightmetric.com/fighter-details/d747eb273a40a920,"5' 11""",71,155,72,Southpaw,0,"Apr 21, 1996",9-2-0,9,2,0
351,Felipe Silva,,http://www.fightmetric.com/fighter-details/1b38a2b897f6209c,"6' 0""",72,155,77,Orthodox,1,"May 08, 1984",8-2-0,8,2,0
352,Amanda Nunes,"""Lioness""",http://www.fightmetric.com/fighter-details/80fa8218c99f9c58,"5' 8""",68,135,69,Orthodox,1,"May 30, 1988",16-4-0,16,4,0
353,Raquel Pennington,"""Rocky""",http://www.fightmetric.com/fighter-details/fc169c387b4b465d,"5' 7""",67,135,67,Orthodox,1,"Sep 05, 1988",9-7-0,9,7,0
354,Jacare Souza,"""Jacare""",http://www.fightmetric.com/fighter-details/7a703c565ccaa18f,"6' 1""",73,185,72,Orthodox,1,"Dec 07, 1979",25-6-0 (1 NC),25,6,0
355,Kelvin Gastelum,,http://www.fightmetric.com/fighter-details/8c0580d4fff106c1,"5' 9""",69,185,71,Southpaw,0,"Oct 24, 1991",16-3-0 (1 NC),16,3,0
356,Mackenzie Dern,,http://www.fightmetric.com/fighter-details/7447e9f28508106a,"5' 4""",64,115,63,Orthodox,1,"Mar 24, 1993",7-0-0,7,0,0
357,Amanda Cooper,"""ABC""",http://www.fightmetric.com/fighter-details/d4a31850a7457f1b,"5' 3""",63,115,64,Switch,0,"Oct 22, 1991",4-4-0,4,4,0
358,John Lineker,"""Hands of Stone""",http://www.fightmetric.com/fighter-details/c268b2cfebccf652,"5' 3""",63,135,67,Orthodox,1,"Jun 12, 1990",31-8-0,31,8,0
359,Brian Kelleher,"""Boom""",http://www.fightmetric.com/fighter-details/7be14eaed4c74856,"5' 6""",66,135,66,Switch,0,"Aug 19, 1986",19-9-0,19,9,0
360,Vitor Belfort,"""The Phenom""",http://www.fightmetric.com/fighter-details/0ee783aa00e468f0,"6' 0""",72,185,74,Southpaw,0,"Apr 01, 1977",26-14-0 (1 NC),26,14,0
361,Lyoto Machida,"""The Dragon""",http://www.fightmetric.com/fighter-details/f7a7f7118d4b01b6,"6' 1""",73,185,74,Southpaw,0,"May 30, 1978",24-8-0,24,8,0
362,Cezar Ferreira,"""Mutante""",http://www.fightmetric.com/fighter-details/dbc17725b887860a,"6' 1""",73,185,78,Southpaw,0,"Feb 15, 1985",14-6-0,14,6,0
363,Karl Roberson,"""Baby K""",http://www.fightmetric.com/fighter-details/37d5b176d438d2a5,"6' 1""",73,185,74,Southpaw,0,"Oct 04, 1990",6-1-0,6,1,0
364,Junior Albini,"""Baby""",http://www.fightmetric.com/fighter-details/c482c8605455a213,"6' 3""",75,264,74,Orthodox,1,"Mar 15, 1991",14-4-0,14,4,0
365,Davi Ramos,"""Tasmanian Devil""",http://www.fightmetric.com/fighter-details/0052de90691d4a93,"5' 8""",68,170,70,Orthodox,1,"Nov 05, 1986",8-2-0,8,2,0
366,Sean Strickland,"""Tarzan""",http://www.fightmetric.com/fighter-details/0d8011111be000b2,"6' 1""",73,170,76,Orthodox,1,"Feb 27, 1991",19-3-0,19,3,0
367,Sultan Aliev,,http://www.fightmetric.com/fighter-details/e70de1859b7ee78e,"5' 11""",71,170,74,Orthodox,1,"Sep 17, 1984",14-3-0,14,3,0
368,Jack Hermansson,"""The Joker""",http://www.fightmetric.com/fighter-details/0a1942069c9ad6b6,"6' 1""",73,185,77,Orthodox,1,"Jun 10, 1988",17-4-0,17,4,0
369,Alberto Mina,"""Soldier of God""",http://www.fightmetric.com/fighter-details/4b1d46a1b5c0fd11,"6' 0""",72,170,77,Orthodox,1,"May 02, 1982",13-1-0,13,1,0
370,James Bochnovic,,http://www.fightmetric.com/fighter-details/984d15d5dc7bfcf9,"6' 4""",76,205,81,Orthodox,1,"Feb 13, 1989",8-3-0,8,3,0
371,Edson Barboza,"""Junior""",http://www.fightmetric.com/fighter-details/64a50dad704d1d49,"5' 11""",71,155,75,Orthodox,1,"Jan 21, 1986",19-6-0,19,6,0
372,Kevin Lee,"""The Motown Phenom""",http://www.fightmetric.com/fighter-details/ee9ebceabfd16fa7,"5' 9""",69,155,77,Orthodox,1,"Sep 04, 1992",17-3-0,17,3,0
373,Frankie Edgar,"""The Answer""",http://www.fightmetric.com/fighter-details/f2688492b9a525a3,"5' 6""",66,145,68,Orthodox,1,"Oct 16, 1981",22-6-1,22,6,1
374,Justin Willis,"""Big Pretty""",http://www.fightmetric.com/fighter-details/ce1e867808ef5fce,"6' 1""",73,264,78,Southpaw,0,"Jul 19, 1987",7-1-0,7,1,0
375,David Branch,,http://www.fightmetric.com/fighter-details/d2c55d1d2e67773b,"6' 1""",73,185,78,Orthodox,1,"Sep 26, 1981",22-4-0,22,4,0
376,Ryan LaFlare,,http://www.fightmetric.com/fighter-details/4c7781da8c6cae93,"6' 1""",73,170,74,Southpaw,0,"Oct 01, 1983",14-2-0,14,2,0
377,Alex Garcia,"""The Dominican Nightmare""",http://www.fightmetric.com/fighter-details/a2b12c3f3d60ff69,"5' 9""",69,170,72,Orthodox,1,"Jul 14, 1987",15-5-0,15,5,0
378,Siyar Bahadurzada,"""The Great""",http://www.fightmetric.com/fighter-details/aec185309b4843d0,"5' 11""",71,185,73,Orthodox,1,"Apr 17, 1984",24-6-1,24,6,1
379,Luan Chagas,"""Tarzan""",http://www.fightmetric.com/fighter-details/9ccf8371fd80d45d,"6' 0""",72,170,75,Orthodox,1,"Jun 17, 1993",15-3-1,15,3,1
380,Patrick Cummins,"""Durkin""",http://www.fightmetric.com/fighter-details/e51e5cb722bd47a8,"6' 2""",74,205,76,Orthodox,1,"Nov 16, 1980",10-5-0,10,5,0
381,Tony Martin,,http://www.fightmetric.com/fighter-details/5331b25a60417ffb,"6' 0""",72,170,73,Orthodox,1,"Dec 11, 1989",13-4-0,13,4,0
382,Keita Nakamura,"""K-Taro""",http://www.fightmetric.com/fighter-details/65ddc8a9ac4e8531,"5' 11""",71,170,73,Southpaw,0,"May 22, 1984",33-9-2 (1 NC),33,9,2
383,Carlos Condit,"""The Natural Born Killer""",http://www.fightmetric.com/fighter-details/f9f07bb5a43535ed,"6' 2""",74,170,75,Orthodox,1,"Apr 26, 1984",30-12-0,30,12,0
384,Marvin Vettori,"""The Italian Dream""",http://www.fightmetric.com/fighter-details/7acbb0972e75281a,"6' 0""",72,185,74,Southpaw,0,"Sep 20, 1993",12-4-1,12,4,1
385,Michelle Waterson,"""The Karate Hottie""",http://www.fightmetric.com/fighter-details/eb04b9d31e938edb,"5' 3""",63,115,62,Orthodox,1,"Jan 06, 1986",15-6-0,15,6,0
386,Tim Boetsch,"""The Barbarian""",http://www.fightmetric.com/fighter-details/c80095f6092271a7,"6' 0""",72,185,74,Orthodox,1,"Jan 28, 1981",21-12-0,21,12,0
387,Antonio Carlos Junior,"""Cara de Sapato""",http://www.fightmetric.com/fighter-details/52e76bb4b3e852f3,"6' 2""",74,185,79,Orthodox,1,"Mar 16, 1990",11-2-0 (1 NC),11,2,0
388,Muslim Salikhov,"""King of Kung Fu""",http://www.fightmetric.com/fighter-details/447f9858ae78f921,"5' 11""",71,170,70,Orthodox,1,"Jun 09, 1984",14-2-0,14,2,0
389,Ricky Rainey,"""The Sniper""",http://www.fightmetric.com/fighter-details/9b1e3fb4f8cbd5b7,"6' 1""",73,170,77,Switch,0,"Jun 29, 1983",13-5-0,13,5,0
390,Wilson Reis,,http://www.fightmetric.com/fighter-details/5aedf14771ca82d2,"5' 4""",64,125,65,Southpaw,0,"Jan 06, 1985",22-9-0,22,9,0
391,Krzysztof Jotko,,http://www.fightmetric.com/fighter-details/4e06913c91da5200,"6' 1""",73,185,77,Southpaw,0,"Aug 19, 1989",19-4-0,19,4,0
392,Dan Moret,"""The Hitman""",http://www.fightmetric.com/fighter-details/66e98b3bb5fc5250,"6' 0""",72,155,73,Southpaw,0,"Nov 21, 1986",13-4-0,13,4,0
393,Shana Dobson,"""Danger""",http://www.fightmetric.com/fighter-details/122ac9b816d8b71c,"5' 6""",66,125,69,,0,"Mar 30, 1989",3-2-0,3,2,0
394,Lauren Mueller,"""Princess Tiger""",http://www.fightmetric.com/fighter-details/f923e012414c883e,"5' 5""",65,125,67,Orthodox,1,"Nov 15, 1991",5-0-0,5,0,0
395,Dhiego Lima,,http://www.fightmetric.com/fighter-details/e9213f53ddeca978,"6' 2""",74,170,74,Orthodox,1,"Jan 31, 1989",14-7-0,14,7,0
396,Yushin Okami,"""Thunder""",http://www.fightmetric.com/fighter-details/acff437707625fc7,"6' 2""",74,170,75,Southpaw,0,"Jul 21, 1981",35-11-0,35,11,0
397,Arjan Bhullar,,http://www.fightmetric.com/fighter-details/7e511f8d842a109d,"6' 1""",73,245,75,Orthodox,1,"May 13, 1986",7-1-0,7,1,0
398,Adam Wieczorek,"""Siwy""",http://www.fightmetric.com/fighter-details/efa1f6b42c86793c,"6' 5""",77,250,81,Orthodox,1,"Feb 05, 1992",10-1-0,10,1,0
399,Matthew Lopez,,http://www.fightmetric.com/fighter-details/2fc7e9701642ca38,"5' 7""",67,135,69,Southpaw,0,"Jan 21, 1987",10-3-0,10,3,0
400,Patrick Williams,"""The Animal""",http://www.fightmetric.com/fighter-details/39330403ad27c2bb,"5' 8""",68,135,73,Orthodox,1,"Sep 07, 1981",8-6-0,8,6,0
401,Khabib Nurmagomedov,"""The Eagle""",http://www.fightmetric.com/fighter-details/032cc3922d871c7f,"5' 10""",70,155,70,Orthodox,1,"Sep 20, 1988",26-0-0,26,0,0
402,Al Iaquinta,"""Raging""",http://www.fightmetric.com/fighter-details/59279a7c978f7da0,"5' 9""",69,155,70,Orthodox,1,"Apr 30, 1987",13-4-1,13,4,1
403,Rose Namajunas,"""Thug""",http://www.fightmetric.com/fighter-details/47b63240018d5d86,"5' 5""",65,115,65,Orthodox,1,"Jun 29, 1992",9-3-0,9,3,0
404,Calvin Kattar,"""The Boston Finisher""",http://www.fightmetric.com/fighter-details/751de04455cfaac0,"5' 11""",71,145,72,Orthodox,1,"Mar 26, 1988",18-3-0,18,3,0
405,Kyle Bochniak,"""Crash""",http://www.fightmetric.com/fighter-details/c5af5750e8bae4f0,"5' 7""",67,145,70,Orthodox,1,"Feb 05, 1987",8-3-0,8,3,0
406,Joe Lauzon,"""J-Lau""",http://www.fightmetric.com/fighter-details/3bad7ef643840f67,"5' 10""",70,155,71,Orthodox,1,"May 22, 1984",27-16-0,27,16,0
407,Chris Gruetzemacher,"""Gritz""",http://www.fightmetric.com/fighter-details/feaf00f3373435d6,"5' 8""",68,155,68,Orthodox,1,"Jun 16, 1986",14-3-0,14,3,0
408,Felice Herrig,"""Lil Bulldog""",http://www.fightmetric.com/fighter-details/b6850671a008bf9a,"5' 4""",64,115,65,Orthodox,1,"Sep 18, 1984",14-7-0,14,7,0
409,Bec Rawlings,"""Rowdy""",http://www.fightmetric.com/fighter-details/907e60fd13407e1e,"5' 6""",66,125,64,Orthodox,1,"Feb 11, 1989",7-8-0,7,8,0
410,Ashlee Evans-Smith,"""Rebel Girl""",http://www.fightmetric.com/fighter-details/fc6e681bf6658faf,"5' 8""",68,125,67,Orthodox,1,"Jul 09, 1987",6-3-0,6,3,0
411,Devin Clark,"""Brown Bear""",http://www.fightmetric.com/fighter-details/cc7040fe76f0ef91,"6' 0""",72,205,75,Orthodox,1,"Apr 12, 1990",9-2-0,9,2,0
412,Mike Rodriguez,"""Slo Mike""",http://www.fightmetric.com/fighter-details/18b602842a24f7c5,"6' 4""",76,205,82,Southpaw,0,"Nov 28, 1988",9-3-0,9,3,0
413,Fabricio Werdum,"""Vai Cavalo""",http://www.fightmetric.com/fighter-details/492b202d2064e7a9,"6' 4""",76,231,77,Orthodox,1,"Jul 30, 1977",23-8-1,23,8,1
414,Alexander Volkov,"""Drago""",http://www.fightmetric.com/fighter-details/279566840aa55bf2,"6' 7""",79,250,80,Orthodox,1,"Oct 24, 1988",30-6-0,30,6,0
415,Jimi Manuwa,"""Poster Boy""",http://www.fightmetric.com/fighter-details/1e1dbd1cc5a7469e,"6' 1""",73,205,79,Orthodox,1,"Feb 18, 1980",17-4-0,17,4,0
416,Tom Duquesnoy,"""FireKid""",http://www.fightmetric.com/fighter-details/e979c76341f19b22,"5' 7""",67,135,68,Orthodox,1,"Jun 21, 1993",16-2-0 (1 NC),16,2,0
417,Peter Sobotta,,http://www.fightmetric.com/fighter-details/1fcfc3709fe58151,"6' 0""",72,170,75,Southpaw,0,"Jan 11, 1987",17-6-1,17,6,1
418,John Phillips,"""The Welsh Wrecking Machine""",http://www.fightmetric.com/fighter-details/e9ac7bfb65c25497,"5' 11""",71,185,75,Southpaw,0,"Jun 09, 1985",21-7-0 (1 NC),21,7,0
419,Oliver Enkamp,"""The Future""",http://www.fightmetric.com/fighter-details/330bafba312face4,"6' 0""",72,170,77,Switch,0,"Aug 10, 1991",7-2-0,7,2,0
420,Danny Henry,"""The Hatchet""",http://www.fightmetric.com/fighter-details/f7d73e452b064bf2,"6' 0""",72,145,73,Orthodox,1,"Jul 17, 1988",12-2-0,12,2,0
421,Paul Craig,"""Bearjew""",http://www.fightmetric.com/fighter-details/eabf206b162b3b83,"6' 3""",75,205,76,Orthodox,1,"Nov 27, 1987",10-2-0,10,2,0
422,Stevie Ray,"""Braveheart""",http://www.fightmetric.com/fighter-details/31a13532e724ca2b,"5' 10""",70,155,70,Southpaw,0,"Mar 25, 1990",21-8-0,21,8,0
423,Mark Godbeer,"""The Hand Of""",http://www.fightmetric.com/fighter-details/ad56b3f00ca38dfd,"6' 4""",76,240,77,Orthodox,1,"Nov 22, 1983",13-4-0,13,4,0
424,Dmitry Sosnovskiy,"""Wicked Machine""",http://www.fightmetric.com/fighter-details/85ff1b9471d35238,"6' 3""",75,240,77,Orthodox,1,"Jul 06, 1989",11-0-0,11,0,0
425,Cris Cyborg,"""Cyborg""",http://www.fightmetric.com/fighter-details/634bb0de2eb043b4,"5' 8""",68,145,68,Orthodox,1,"Jul 09, 1985",20-1-0 (1 NC),20,1,0
426,Yana Kunitskaya,"""Foxy""",http://www.fightmetric.com/fighter-details/3143bf892608139a,"5' 6""",66,135,68,Orthodox,1,"Nov 11, 1989",10-4-0 (1 NC),10,4,0
427,Brian Ortega,"""T-City""",http://www.fightmetric.com/fighter-details/def8166ff24bd237,"5' 8""",68,145,69,Switch,0,"Feb 21, 1991",14-0-0 (1 NC),14,0,0
428,Sean O'Malley,"""Sugar""",http://www.fightmetric.com/fighter-details/b50a426a33da0012,"5' 11""",71,135,72,Switch,0,"Oct 24, 1994",10-0-0,10,0,0
429,Andre Soukhamthath,"""The Asian Sensation""",http://www.fightmetric.com/fighter-details/d0e50a3d1b250708,"5' 9""",69,135,70,Orthodox,1,"Oct 23, 1988",12-6-0,12,6,0
430,Ketlen Vieira,"""Fenomeno""",http://www.fightmetric.com/fighter-details/b9706f80d005036c,"5' 8""",68,135,68,Orthodox,1,"Aug 26, 1991",10-0-0,10,0,0
431,Ashley Yoder,"""Spider Monkey""",http://www.fightmetric.com/fighter-details/b4c6c904a9ffc5e8,"5' 7""",67,115,69,Southpaw,0,"Oct 20, 1987",5-4-0,5,4,0
432,Beneil Dariush,,http://www.fightmetric.com/fighter-details/08af939f41b5a57b,"5' 10""",70,155,72,Southpaw,0,"May 06, 1989",14-4-1,14,4,1
433,Mike Pyle,"""Quicksand""",http://www.fightmetric.com/fighter-details/f5990c11974d8e9c,"6' 0""",72,170,74,Orthodox,1,"Sep 18, 1975",27-14-1,27,14,1
434,Bryan Caraway,"""Kid Lightning""",http://www.fightmetric.com/fighter-details/5ef0088c1b19beeb,"5' 8""",68,135,68,Orthodox,1,"Aug 04, 1984",21-9-0,21,9,0
435,Adam Milstead,"""The Prototype""",http://www.fightmetric.com/fighter-details/72ffecf712673af1,"6' 3""",75,240,76,Orthodox,1,"Jul 03, 1987",8-2-0 (1 NC),8,2,0
436,Josh Emmett,,http://www.fightmetric.com/fighter-details/fba03cd6cc28dc41,"5' 6""",66,145,70,Orthodox,1,"Mar 04, 1985",13-2-0,13,2,0
437,Ilir Latifi,"""The Sledgehammer""",http://www.fightmetric.com/fighter-details/e9a3aeb207578eea,"5' 10""",70,205,73,Orthodox,1,"Jul 28, 1983",15-5-0 (1 NC),15,5,0
438,Sara McMann,,http://www.fightmetric.com/fighter-details/7be74a12d7352df2,"5' 6""",66,135,66,Orthodox,1,"Sep 24, 1980",11-5-0,11,5,0
439,Maryna Moroz,"""Iron Lady""",http://www.fightmetric.com/fighter-details/b4192a975027aab6,"5' 7""",67,115,67,Orthodox,1,"Sep 08, 1991",8-3-0,8,3,0
440,Alan Jouban,"""Brahma""",http://www.fightmetric.com/fighter-details/cf65d56b0755ed3b,"6' 0""",72,170,73,Southpaw,0,"Nov 25, 1981",16-6-0,16,6,0
441,Russell Doane,,http://www.fightmetric.com/fighter-details/f50d95223751e6ca,"5' 7""",67,135,70,Orthodox,1,"Aug 13, 1986",15-8-0,15,8,0
442,Eric Shelton,"""Showtime""",http://www.fightmetric.com/fighter-details/a0c64f272b65d441,"5' 6""",66,125,68,Orthodox,1,"Feb 02, 1991",11-5-0,11,5,0
443,Albert Morales,"""The Warrior""",http://www.fightmetric.com/fighter-details/544d7460b3e44393,"5' 9""",69,135,72,Orthodox,1,"May 25, 1991",7-4-1,7,4,1
444,Yancy Medeiros,"""The Kid""",http://www.fightmetric.com/fighter-details/813550bc53b15fb0,"5' 10""",70,170,75,Orthodox,1,"Sep 07, 1987",15-5-0 (1 NC),15,5,0
445,Thibault Gouti,"""GT""",http://www.fightmetric.com/fighter-details/51e86de150ee8be6,"5' 10""",70,155,72,Orthodox,1,"Feb 27, 1987",12-4-0,12,4,0
446,Jared Gordon,"""Flash""",http://www.fightmetric.com/fighter-details/7026eca45f65377b,"5' 9""",69,155,68,Orthodox,1,"Sep 06, 1988",14-2-0,14,2,0
447,Diego Ferreira,,http://www.fightmetric.com/fighter-details/f53d4f21d1b5f2dc,"5' 9""",69,155,74,Orthodox,1,"Jan 18, 1985",13-2-0,13,2,0
448,Brian Camozzi,"""Mantis""",http://www.fightmetric.com/fighter-details/1999ffb5cebc314f,"6' 2""",74,170,78,Orthodox,1,"Jun 24, 1991",7-5-0,7,5,0
449,Joby Sanchez,,http://www.fightmetric.com/fighter-details/b12fc8a41e82d3a2,"5' 6""",66,125,68,Orthodox,1,"Jun 24, 1991",11-3-0,11,3,0
450,Sarah Moras,"""Cheesecake""",http://www.fightmetric.com/fighter-details/539ed332b3078821,"5' 7""",67,135,67,,0,"Apr 30, 1988",5-4-0,5,4,0
451,Joshua Burkman,"""The People's Warrior""",http://www.fightmetric.com/fighter-details/6da99156486ed6c2,"5' 10""",70,170,72,Orthodox,1,"Apr 10, 1980",29-17-0 (1 NC),29,17,0
452,Luke Rockhold,,http://www.fightmetric.com/fighter-details/00e11b5c8b7bfeeb,"6' 3""",75,185,77,Southpaw,0,"Oct 17, 1984",16-4-0,16,4,0
453,Cyril Asker,"""Silverback""",http://www.fightmetric.com/fighter-details/9be6020024133293,"6' 0""",72,247,74,Orthodox,1,"Dec 24, 1985",9-4-0,9,4,0
454,Saparbeg Safarov,,http://www.fightmetric.com/fighter-details/88d7b6d8230e1f3f,"6' 1""",73,205,78,Orthodox,1,"Oct 14, 1986",8-2-0,8,2,0
455,Damien Brown,"""Beatdown""",http://www.fightmetric.com/fighter-details/d024ed963e8bf7ea,"5' 10""",70,155,68,Orthodox,1,"Dec 25, 1984",17-12-0,17,12,0
456,Dong Hyun Kim,"""Maestro""",http://www.fightmetric.com/fighter-details/98a6b2361045898f,"5' 11""",71,155,70,Orthodox,1,"Sep 09, 1988",16-8-3,16,8,3
457,Rob Wilkinson,"""Razor""",http://www.fightmetric.com/fighter-details/826475cc758e60e6,"6' 3""",75,185,80,Orthodox,1,"Feb 22, 1992",11-2-0,11,2,0
458,Jeremy Kennedy,"""JBC""",http://www.fightmetric.com/fighter-details/68f6e96c5fa6e044,"5' 11""",71,145,71,Orthodox,1,"Sep 16, 1992",11-1-0,11,1,0
459,Jussier Formiga,"""Formiga""",http://www.fightmetric.com/fighter-details/b102c26727306ab6,"5' 5""",65,125,67,Orthodox,1,"Apr 14, 1985",21-5-0,21,5,0
460,Ben Nguyen,"""Ten""",http://www.fightmetric.com/fighter-details/840d2c82ea68b9aa,"5' 5""",65,125,65,Switch,0,"Aug 03, 1988",17-7-0,17,7,0
461,Mizuto Hirota,"""Pugnus""",http://www.fightmetric.com/fighter-details/35faad160d346839,"5' 7""",67,155,67,Orthodox,1,"May 05, 1981",19-9-2,19,9,2
462,Jose Quinonez,"""Teco""",http://www.fightmetric.com/fighter-details/36549928f90f1d36,"5' 8""",68,135,69,,0,"Jul 28, 1990",8-2-0,8,2,0
463,Luke Jumeau,"""The Jedi""",http://www.fightmetric.com/fighter-details/4c288a2b250bb576,"5' 11""",71,170,72,Orthodox,1,"Feb 12, 1988",13-4-0,13,4,0
464,Valentina Shevchenko,"""Bullet""",http://www.fightmetric.com/fighter-details/132deb59abae64b1,"5' 5""",65,125,67,Southpaw,0,"Mar 07, 1988",15-3-0,15,3,0
465,Priscila Cachoeira,"""Pedrita""",http://www.fightmetric.com/fighter-details/b1e5bcaad32a3cac,"5' 7""",67,125,65,Orthodox,1,"Aug 19, 1988",8-1-0,8,1,0
466,Tim Johnson,,http://www.fightmetric.com/fighter-details/cc900af167fbedfd,"6' 3""",75,265,77,Southpaw,0,"Mar 13, 1985",12-4-0,12,4,0
467,Marcelo Golm,,http://www.fightmetric.com/fighter-details/ac29d508d78384c9,"6' 3""",75,249,75,Orthodox,1,"Sep 15, 1992",6-1-0,6,1,0
468,Douglas Silva de Andrade,"""D Silva""",http://www.fightmetric.com/fighter-details/3a314d9fa7c6825d,"5' 7""",67,135,68,Orthodox,1,"Jun 22, 1985",25-2-0 (1 NC),25,2,0
469,Tim Means,"""The Dirty Bird""",http://www.fightmetric.com/fighter-details/4b47e71384a9522f,"6' 2""",74,170,75,Orthodox,1,"Feb 20, 1984",27-10-1 (1 NC),27,10,1
470,Alan Patrick,"""Nuguette""",http://www.fightmetric.com/fighter-details/cd7763bcadb5d4c8,"5' 11""",71,155,74,Southpaw,0,"Jul 19, 1983",15-1-0,15,1,0
471,Maia Stevenson,,http://www.fightmetric.com/fighter-details/2fee10d5cf86bfca,"5' 4""",64,115,62,Orthodox,1,"Mar 19, 1982",6-5-0,6,5,0
472,Joe Soto,"""One Bad Mofo""",http://www.fightmetric.com/fighter-details/a4e85a58fbce64b2,"5' 6""",66,135,65,Orthodox,1,"Mar 22, 1987",18-7-0,18,7,0
473,Joseph Morales,,http://www.fightmetric.com/fighter-details/2fe9032955c2e013,"5' 6""",66,125,69,Switch,0,"Aug 22, 1994",9-1-0,9,1,0
474,Derek Brunson,,http://www.fightmetric.com/fighter-details/b1a3e0aca758b322,"6' 1""",73,185,77,Southpaw,0,"Jan 04, 1984",18-6-0,18,6,0
475,Jordan Rinaldi,"""All Day""",http://www.fightmetric.com/fighter-details/c07efc18b231f170,"5' 10""",70,155,72,Orthodox,1,"Sep 25, 1987",13-6-0,13,6,0
476,Erik Koch,"""New Breed""",http://www.fightmetric.com/fighter-details/99bd87a300079ed9,"5' 10""",70,155,71,Southpaw,0,"Oct 04, 1988",15-6-0,15,6,0
477,Bobby Green,"""King""",http://www.fightmetric.com/fighter-details/887961364be5ceb3,"5' 10""",70,155,71,Orthodox,1,"Sep 09, 1986",24-8-1,24,8,1
478,Godofredo Pepey,,http://www.fightmetric.com/fighter-details/fa37628269132d1a,"5' 7""",67,145,73,Orthodox,1,"Jul 02, 1987",14-6-0,14,6,0
